name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;578;0;797;3237;1079;3237;1079;0
header;239;196;239;231;1882;231;1882;196
A;1046;261;1046;289;1070;289;1070;261
D;1020;543;1020;559;1029;559;1029;543
D;816;622;816;649;850;649;850;622
B;795;632;795;647;804;647;804;632
B;1042;926;1042;954;1063;954;1063;926
A;1026;1440;1026;1440;1028;1440;1028;1440
C;1042;1593;1042;1621;1063;1621;1063;1593
B;765;1912;765;1931;779;1931;779;1912
A;1015;2005;1015;2021;1023;2021;1023;2005
D;1043;2351;1043;2381;1067;2381;1067;2351
A;870;2545;870;2560;880;2560;880;2545
